name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
META PLATFORMS INC,META,1326801,30303M102,NASDAQ,False,Domestic Common Stock,Technology,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,California; U.S.A,0b170c90ba53adf98cceae180722b20c
AUTOMATIC DATA PROCESSING INC,ADP,8670,053015103,NASDAQ,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,New Jersey; U.S.A,72d26107d94093bc0e9b1b203f66bfd9
MAXIM INTEGRATED PRODUCTS INC,MXIM,743316,57772K101,NASDAQ,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,d91a97c26e1bb5434b3a01490b3c1d14
SHERWIN WILLIAMS CO,SHW,89800,824348106,NYSE,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,5200,Retail Trade,Retail-Building Materials Hardware Garden Supply,,Retail,USD,Ohio; U.S.A,55a5a4d167e79d66950c9df91a81a275
P10 INC,PX,1841968,69376K106,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,Texas; U.S.A,65f88eb4f2918d786ab0e3c91080086a
INTERNATIONAL GAME TECHNOLOGY PLC,IGT,1619762,G4863A108,NYSE,False,ADR Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,EUR,United Kingdom,e48df0e88b6db54100042fd8c713c50a
SLM CORP,SLM,1032033,78442P106 78442A109 90390U102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,,Banking,USD,Delaware; U.S.A,d076e8bee1377db5b5bf6513323def9d
HEINZ H J CO,HNZ,46640,423074103,NASDAQ,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,Pennsylvania; U.S.A,ed6371da63214cc7c18939695a0684a4
MOHAWK INDUSTRIES INC,MHK,851968,608190104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2273,Manufacturing,Carpets & Rugs,,Textiles,USD,Georgia; U.S.A,27b0bd536ad56479f0baf17e238892db
ROSS STORES INC,ROST,745732,778296103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,California; U.S.A,9e1d695ae7046195f24f6f99a60c7bfd
CONSOLIDATED NATURAL GAS CO,CNG,23738,209615103,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Gas,4923,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmisison & Distribution,,Utilities,USD,Virginia; U.S.A,016c27dd07dea52d59d7970611be6196
UNITED RENTALS INC,URI,1067701,911363109,NYSE,False,Domestic Common Stock,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,,Business Services,USD,Connecticut; U.S.A,626a57f2136021a369d4f5aeb6850e90
SYMBOL TECHNOLOGIES INC,SBL,278352,871508107,NYSE,True,Domestic Common Stock,Technology,Computer Hardware,3577,Manufacturing,Computer Peripheral Equipment Nec,,Computers,USD,New York; U.S.A,d05534e3ad9f4e7992b0236f16292752
ASSURANT INC,AIZ,1267238,04621X108,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Specialty,6399,Finance Insurance And Real Estate,Insurance Carriers Nec,,Insurance,USD,New York; U.S.A,75f402fc34d2eb44f476324843fbe933
BANK OF AMERICA CORP,BAC,70858,060505104 06605F102 638585109,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Diversified,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,North Carolina; U.S.A,94696f9199961074a510abfeabde0c51
TECHNIPFMC PLC,FTI,1681459,G87110105,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,United Kingdom,37cff0a4afc71a84abca9623001f709e
ROLLINS INC,ROL,84839,775711104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Personal Services,7340,Services,Services-To Dwellings & Other Buildings,,Business Services,USD,Georgia; U.S.A,17ee14bc269f5e3ead224edce9b71dc6
WELLTOWER INC,WELL,766704,95040Q104 42217K106,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Healthcare Facilities,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Ohio; U.S.A,5923a545ac0af909abc60e8e2a101a6a
HORTON D R INC,DHI,882184,23331A109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,Texas; U.S.A,9cd636d43fa187df92a761d1b7f229c2
COOPER INDUSTRIES PLC,CBE,1141982,G24140108 G24182100 216669101,NYSE,True,Domestic Common Stock,Technology,Electronic Components,3670,Manufacturing,Electronic Components & Accessories,,Electronic Equipment,USD,Ireland,35eabb61b42fbacea18073a8f3d56942
PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,788784,744573106,NYSE,False,Domestic Common Stock,Utilities,Utilities - Diversified,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,New Jersey; U.S.A,dd807e70c98d711154fd535921b29da2
EXXON MOBIL CORP,XOM,34088,30231G102 302290101,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Integrated,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Texas; U.S.A,f035809b9b79ce0c0a792da31c6882a9
WATERS CORP,WAT,1000697,941848103,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,16f09a56ecf22bbe5dc35079533b6eac
ENTERGY CORP,ETR,65984,29364G103,NYSE,False,Domestic Common Stock,Utilities,Utilities - Diversified,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Louisiana; U.S.A,639b2f9ea09edb1a9673030acf421ea9
PIONEER NATURAL RESOURCES CO,PXD,1038357,723787107,NYSE,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,9bb852322eb9fe717fa130e89e2ef7f7
NOV INC,NOV,1021860,637071101 62955J103,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,Texas; U.S.A,c24415d6c60440b04297426cc9166c2d
U S WEST INC,USW,1054522,912889102 91273H101,NYSE,True,Domestic Common Stock Primary Class,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Colorado; U.S.A,22cbfa6f1898a0ab98bc1f7b720861c6
ALTABA INC,AABA,1011006,021346101,NASDAQ,True,CEF,,,,,,,,USD,California; U.S.A,16ae648918a5be41a84f49cd1b6c3fbe
DELTA AIR LINES INC,DALRQ,27904,247361108,NYSE,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Delaware; U.S.A,424865bab1957e57e56490de6f9c960e
MACY'S INC,M,794367,55616P104 31410H101,NYSE,False,Domestic Common Stock,Consumer Cyclical,Department Stores,5311,Retail Trade,Retail-Department Stores,,Retail,USD,New York; U.S.A,0b872dc958778b1ec85851ddb9a20ecb
SOUTHWEST AIRLINES CO,LUV,92380,844741108,NYSE,False,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Texas; U.S.A,ad1d6b06af1fc1f46a3bedad80739c66
WARNER LAMBERT CO,WLA,104669,934488107,NYSE,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,552360eaa95c1a72996f7477916684ce
TAPESTRY INC,TPR,1116132,189754104 876030107,NYSE,False,Domestic Common Stock,Consumer Cyclical,Luxury Goods,3100,Manufacturing,Leather & Leather Products,,Apparel,USD,New York; U.S.A,18de8f2cef1a0f6bb129e9800121e96c
SCRIPPS NETWORKS INTERACTIVE INC,SNI,1430602,811065101,NYSE,True,Domestic Common Stock,Consumer Cyclical,Entertainment,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,Tennessee; U.S.A,0831b8a0fc6356675057b8a8ec9e8ece
ATI INC,ATI,1018963,01741R102 017415100,NYSE,False,Domestic Common Stock,Industrials,Metal Fabrication,3317,Manufacturing,Steel Pipe & Tubes,,Steel Works Etc,USD,Pennsylvania; U.S.A,e81a822b3c4052dc995960cddf9b4fbb
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,1058290,192446102,NASDAQ,False,Domestic Common Stock,Technology,Information Technology Services,7371,Services,Services-Computer Programming Services,,Business Services,USD,New Jersey; U.S.A,33cd445b2fda2c895f8a42282e7d2572
CAMPBELL SOUP CO,CPB,16732,134429109,NYSE,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,New Jersey; U.S.A,87bdc4bd670f2f6c29e509ff4d453e3b
HUMANA INC,HUM,49071,444859102,NYSE,False,Domestic Common Stock,Healthcare,Healthcare Plans,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,,Insurance,USD,Kentucky; U.S.A,e20ae50dc788b7dded0848a05dd19dbd
ITT INC,ITT,216228,45073V108 450911201 450911102 450679105,NYSE,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3561,Manufacturing,Pumps & Pumping Equipment,,Machinery,USD,New York; U.S.A,53e79296392a400fdd17a6cb2c2b748d
SUNOCO LP,SUN,1552275,86765K109 869239103,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Refining & Marketing,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Texas; U.S.A,6917850624c0e107cae267b8d5305390
MEDIAONE GROUP INC,UMG,1054522,912889201 58440J104,NYSE,True,Domestic Common Stock Secondary Class,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,,USD,Colorado; U.S.A,3bee2b9804bcb67f6d5ba7b34a3efb36
SANMINA CORP,SANM,897723,801056102 800907206 800907107,NASDAQ,False,Domestic Common Stock,Technology,Electronic Components,3672,Manufacturing,Printed Circuit Boards,,Electronic Equipment,USD,California; U.S.A,1c0be5865477a826d446c582c6199a6b
NISOURCE INC,NI,1111711,65473P105 65473P113 629140104,NYSE,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Gas,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Indiana; U.S.A,46011a0adad304309e2aa2dee6601f9d
QUEST DIAGNOSTICS INC,DGX,1022079,74834L100,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,8071,Services,Services-Medical Laboratories,,Healthcare,USD,New Jersey; U.S.A,9f608c5f6999be4ecb66562b88c2f5f7
INTUITIVE SURGICAL INC,ISRG,1035267,46120E602 46120E107,NASDAQ,False,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3842,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,,Medical Equipment,USD,California; U.S.A,8f53eaa7f3cd8b1ecb266a616c833203
METALICO INC,MEA,1048685,591176102,NYSEMKT,True,Domestic Common Stock,Basic Materials,Aluminum,3341,Manufacturing,Secondary Smelting & Refining Of Nonferrous Metals,,Steel Works Etc,USD,New Jersey; U.S.A,d4c937273d94a2fa609e07950c6138da
COMVERSE TECHNOLOGY INC,CMVT,803014,205862402,NASDAQ,True,Domestic Common Stock,Technology,Communication Equipment,3661,Manufacturing,Telephone & Telegraph Apparatus,,Electronic Equipment,USD,New York; U.S.A,f808b4184bf7f2e80917e5888785cab6
MORGAN STANLEY,MS,895421,617446448 617446109 24240V101,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Capital Markets,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,New York; U.S.A,f9e0fbe7c177a5545259f63dc0a5ec4b
ANHEUSER-BUSCH INBEV SA,BUD,1668717,03524A108,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Belgium,0f461a32a7024060268853769c150ded
EDISON INTERNATIONAL,EIX,827052,281020107 783882103,NYSE,False,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,California; U.S.A,387aa0370867f6aec7dc4e0cb56275c9
NETAPP INC,NTAP,1002047,64110D104 64120L104,NASDAQ,False,Domestic Common Stock,Technology,Computer Hardware,3572,Manufacturing,Computer Storage Devices,,Computers,USD,California; U.S.A,e7478be1ad8d2e70402fbc7a5089d0c2
ALLEGHENY ENERGY INC,AYE,3673,017361106 017411109,NASDAQ,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Pennsylvania; U.S.A,870b4459a9aa1c0296539cf7fa47718e
LENNAR CORP,LEN,920760,526057104,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Residential Construction,1520,Construction,General Bldg Contractors - Residential Bldgs,,Construction,USD,Florida; U.S.A,fe3d6fdf52e34a9b5a6831bcc1e80cab
NEWS CORP,NWS,1564708,65249B208,NASDAQ,False,Domestic Common Stock Secondary Class,Consumer Cyclical,Broadcasting,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,New York; U.S.A,87876ed3a92f11da7e4719fd2eb5bc00
PNC FINANCIAL SERVICES GROUP INC,PNC,713676,693475105,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Pennsylvania; U.S.A,11c3be78967bb20565eb24638e123285
PERKINELMER INC,PKI,31791,714046109 268457108,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,cee1397977f298bb2370491a76d4b5ac
SITIO ROYALTIES CORP,STR,1703785,30607B109 688397108 688397207 82982V101,NYSE,False,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Pennsylvania; U.S.A,bf28aea9b6950380f9e094c2822bba6f
NABISCO GROUP HOLDINGS CORP,NGH,847903,74960K876 62952P102,NYSE,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2052,Manufacturing,Cookies & Crackers,,Food Products,USD,Delaware; U.S.A,6cd9664fb47e11e8019ff35d64a73529
VICTORYSHARES PROTECT AMERICA ETF,SHLD,1547580,92647X871,NASDAQ,True,ETF,,,,,,,,USD,Ohio; U.S.A,0ac52cdd21b4ba113501737964917108
CIT GROUP INC,CITGQ,1171825,125581108,NYSE,True,Domestic Common Stock,Financial Services,Credit Services,6172,Finance Insurance And Real Estate,Finance Lessors,,Banking,USD,New Jersey; U.S.A,18c667b6c22196ed47362c30e62c4620
NVR INC,NVR,906163,62944T105,NYSE,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,Virginia; U.S.A,d7e93edc906a5ea50db0ede68bc20d2a
EXPRESS SCRIPTS HOLDING CO,ESRX,1532063,30219G108 302182100,NASDAQ,True,Domestic Common Stock,Healthcare,Healthcare Plans,5912,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,USD,Missouri; U.S.A,bd35d5072cb4263b9b1f3939139ee832
IQVIA HOLDINGS INC,IQV,1478242,46266C105 74876Y101,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,8731,Services,Services-Commercial Physical & Biological Research,,Business Services,USD,North Carolina; U.S.A,862e8f0a8b6765666ffe2f1b129f0178
MOLSON COORS BEVERAGE CO,TAP,24545,60871R209 217016104,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Brewers,2082,Manufacturing,Malt Beverages,,Beer & Liquor,USD,Colorado; U.S.A,862f7c163e9d1c394cd70d7ec4f89cf3
LIVE NATION ENTERTAINMENT INC,LYV,1335258,538034109 14985W109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,California; U.S.A,114b56d441d6a9f8b559ba49cfdfd559
ADOBE INC,ADBE,796343,00724F101,NASDAQ,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,08774beedc7bd5d41d83d0757ec98e5a
MBIA INC,MBI,814585,55262C100,NYSE,False,Domestic Common Stock,Financial Services,Insurance - Specialty,6351,Finance Insurance And Real Estate,Surety Insurance,,Insurance,USD,New York; U.S.A,2eb88f08722a234c6d813f324f66918f
ENPHASE ENERGY INC,ENPH,1463101,29355A107,NASDAQ,False,Domestic Common Stock,Technology,Solar,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,ec90f10650a1bcc42f56ead5ef1fa161
CONAGRA BRANDS INC,CAG,23217,205887102,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Packaged Foods,2000,Manufacturing,Food And Kindred Products,,Food Products,USD,Illinois; U.S.A,9e8dbb60e1aac53c10edb7d1cc8c6dbb
BEMIS CO INC,BMS,11199,081437105,NYSE,True,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,Wisconsin; U.S.A,0b69c6c6574382ec3b15151195f30c67
CITIGROUP INC,C,831001,172967424 172967101 894190107,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Diversified,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,New York; U.S.A,fff3dcba3db9b6845758b009671444fa
RR DONNELLEY & SONS CO,RRD,29669,257867101 257867200,NYSE,True,Domestic Common Stock Primary Class,Industrials,Specialty Business Services,2750,Manufacturing,Commercial Printing,,Business Services,USD,Illinois; U.S.A,f5007543e97c4c46bd6027b75eff0d7d
GRAHAM HOLDINGS CO,GHC,104889,384637104 939640108,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,,Personal Services,USD,Virginia; U.S.A,3cecbceb449610b53f249aca03edb1d9
ORACLE CORP,ORCL,1341439,68389X105,NYSE,False,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,9c058cc816921bf9d47fa38cfa13c55c
ATYR PHARMA INC,LIFE,1339970,002120103 002120202,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,California; U.S.A,cb4508c503447beed4b844b447b5273d
AMERICAN INTERNATIONAL GROUP INC,AIG,5272,026874784 026874107,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Diversified,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,New York; U.S.A,66d212c4d8610dcdc34ace066018bb1f
KMG CHEMICALS INC,KMG,1028215,482564101,NYSE,True,Domestic Common Stock,Basic Materials,Specialty Chemicals,2800,Manufacturing,Chemicals & Allied Products,,Chemicals,USD,Texas; U.S.A,c1fb08cd0a387130ffffc6cc3b35b958
PFIZER INC,PFE,78003,717081103,NYSE,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,8b3ae3c3bcbe788289e432320363f6bb
DOLLAR TREE INC,DLTR,935703,256746108 256747106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,Virginia; U.S.A,2e356b049d3b4ef6ffef269437eca5eb
SUNEDISON INC,SUNEQ,945436,86732Y109 552715104,NYSE,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Missouri; U.S.A,35417c2c8fda933a138302ae42b31d61
NORTHROP GRUMMAN CORP,NOC,1133421,666807102,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3812,Manufacturing,Search Detection Navagation Guidance Aeronautical Sys,,Electronic Equipment,USD,Virginia; U.S.A,bf9fa2b2559fd6eb98ec845287a3ffed
MALAYSIA FUND INC,MAY,811797,560905101,NYSE,True,CEF,,,,,,,,USD,Massachusetts; U.S.A,3d54fbbe11829cd5e4d214e1166fb524
MBNA CORP,KRB,870517,55262L100,NYSE,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Delaware; U.S.A,74e1ff63d0c558a8413eeea76062a1bf
PTC INC,PTC,857005,69370C100 699173209 699173100,NASDAQ,False,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Massachusetts; U.S.A,5c96dc02c9822c3caa8913680868d8cf
CAREMARK RX INC,CMX,1000736,141705103 58503X107,NYSE,True,Domestic Common Stock,Consumer Defensive,Pharmaceutical Retailers,5912,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,USD,Alabama; U.S.A,26f72aa9ffe1aa81911a68142260710b
COCA-COLA EUROPACIFIC PARTNERS PLC,CCEP,1650107,G25839104,NASDAQ,False,ADR Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2086,Manufacturing,Bottled & Canned Soft Drinks & Carbonated Waters,,Candy & Soda,EUR,United Kingdom,1389d307f7052f8b4a23552b084eb5e8
NUCOR CORP,NUE,73309,670346105,NYSE,False,Domestic Common Stock,Basic Materials,Steel,3312,Manufacturing,Steel Works Blast Furnaces & Rolling Mills (Coke Ovens),,Steel Works Etc,USD,North Carolina; U.S.A,9b93f52ae310684b40a7a3eafacae027
VIAVI SOLUTIONS INC,VIAV,912093,925550105 46612J507 46612J101 909149106,NASDAQ,False,Domestic Common Stock Primary Class,Technology,Communication Equipment,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,f287b876d9cd82aff158d079448ea72a
APARTMENT INVESTMENT & MANAGEMENT CO,AIV,922864,03748R101 03748R754 03748R747,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Colorado; U.S.A,04f365f991b3f7a3763aeb04f25045b4
W R GRACE & CO,GRA,1045309,38388F108,NYSE,True,Domestic Common Stock Primary Class,Basic Materials,Specialty Chemicals,2800,Manufacturing,Chemicals & Allied Products,,Chemicals,USD,Maryland; U.S.A,ebf9bb68c3fadb32ca1376a2b4733847
UNITED STATES STEEL CORP,X,1163302,912909108 90337T101,NYSE,False,Domestic Common Stock,Basic Materials,Steel,3312,Manufacturing,Steel Works Blast Furnaces & Rolling Mills (Coke Ovens),,Steel Works Etc,USD,Pennsylvania; U.S.A,cb92f9bc96ddc2bb835e5bc8fcd44d6f
NEWFIELD EXPLORATION CO,NFX,912750,651290108,NYSE,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,9d1922815c999079c1ded867c5a7de23
RAYMOND JAMES FINANCIAL INC,RJF,720005,754730109,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Capital Markets,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,Florida; U.S.A,3f005e146129714b3899747f4e5808b5
WHITING PETROLEUM CORP,WLL,1255474,966387508,NYSE,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Colorado; U.S.A,4f1580d0c37d9f6b052c71cd1827afc9
COLUMBIA PIPELINE GROUP INC,CPGX,1629995,198280109,NYSE,True,Domestic Common Stock,Energy,Oil & Gas Midstream,4922,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmission,,Utilities,USD,Texas; U.S.A,a6c0f10c6c19515a13c76318b723f332
CABLEVISION SYSTEMS CORP,CVC,1053112,12686C109,NYSE,True,Domestic Common Stock Primary Class,Consumer Cyclical,Entertainment,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,New York; U.S.A,0c8d76c9025c698651a75d1ec1cfe0ba
ON SEMICONDUCTOR CORP,ON,1097864,682189105,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Arizona; U.S.A,56035b37f94a280c0bb05bb7b9fb7212
BAXTER INTERNATIONAL INC,BAX,10456,071813109 071813141,NYSE,False,Domestic Common Stock Primary Class,Healthcare,Medical Instruments & Supplies,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Illinois; U.S.A,61fc30e29952b1ecaf71cf395e2d8aab
MERCK & CO INC,MRK,310158,58933Y105 589331107,NYSE,False,Domestic Common Stock Primary Class,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,349857c3582084f73aa674a01d6ac885
WALGREENS BOOTS ALLIANCE INC,WBA,1618921,931427108 931422109,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Pharmaceutical Retailers,5912,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,USD,Illinois; U.S.A,12e47fda8c9fdbac379bc41868ec418d
BARR PHARMACEUTICALS INC,BRL,10081,068306109,NASDAQ,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,0c3d81bab39238e670e49b0c41df96f7
CSRA INC,CSRA,1646383,12650T104,NYSE,True,Domestic Common Stock,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,USD,Virginia; U.S.A,b54b03561d55c3a51d2049e84d6f627a
TECO ENERGY INC,TE,350563,872375100,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Florida; U.S.A,ffcc56879ba5be1ce93e14de7f42d7ed
COMPAQ COMPUTER CORP,CPQ,714154,204493100,NYSE,True,Domestic Common Stock,Technology,Computer Hardware,3570,Manufacturing,Computer & Office Equipment,,Computers,USD,Texas; U.S.A,b9d4d3acee36627b5680002fa03949ba
MARKETAXESS HOLDINGS INC,MKTX,1278021,57060D108,NASDAQ,False,Domestic Common Stock,Financial Services,Capital Markets,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,New York; U.S.A,1cc5845e16ff38fa03ffffd1252cb01b
PROSHARES ULTRA 7-10 YEAR TREASURY,UST,1174610,74347R180,NYSEARCA,False,ETF,,,,,,,,USD,Maryland; U.S.A,eed5a396175ae9c403b02c3ee6b2f540
EDWARDS LIFESCIENCES CORP,EW,1099800,28176E108,NYSE,False,Domestic Common Stock,Healthcare,Medical Devices,3842,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,,Medical Equipment,USD,California; U.S.A,64b25c2e49b1b4f9b32881cee438f95d
